company,tweet,sentiment
$ICICIBANK.NSE,$ICICIBANK.NSE Trade in action & Very close to to the targets Bullish,Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE Stock is trading with bullish momentum as it is continuously rising and trading above Ema levels. Macd is also bullish and Rsi is in overbought zone. Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
Based on the chart analysis, it appears that there is a bullish crossover imminent on the Moving Average Convergence Divergence (MACD) indicator, which could signal a good buying opportunity for the stock. Additionally, the stock has recently crossed both its 200-day moving average (DMA) and 100 DMA, which is another positive signal for investors., it is possible that the stock could continue to rise in the future, with a potential target price of around 950. Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE crossed the resistance line with low volume, but sustaining.  
medium strong bullish signals. Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
The stock is moving with the upward trend, but today formed a doji pattern. Bullish",Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE Look for the next possibility in this counter. Bullish,Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE were in the top gainers today with the High day range of 942.45 and the  Low day range of 923.45. At 2:30 ICICI bank is trading at 931.50  with 9.35 or 1.01% high from its prior close at 921.70. Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
Icici bank is slowly moving towards its target level of 950. 
FPI shareholding in ICICI Bank remained unchanged at 44 per cent in FY23. 
If it sustain above 950 then more upside movement is possible. Bullish",Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE Stock is trading above Ema levels indicating bullish trend. Macd is also bullish and Rsi is in overbought zone. Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE MACD bearish crossover, RSI just over the overbought zone. 
short term bearish signals. Bearish",Bearish
$ICICIBANK.NSE,"$ICICIBANK.NSE 
GAINING MOMENTUM.!
STOCK LOOKS GOOD 
TODAY CLOSING ABV 926 
WILL BE MORE UPSIDE TARGET. 955,980.1000 Bullish",Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE Trade in action! Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
ICICI bank is showing strength after results. 
Next resistance level is 950 and above that momentum will be great. Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE KR Choksey Target Price 1175 
Motilal Oswal Target Price 1150 
Prabhudas Lilladher Target Price 1130 Bullish",Bullish
$ICICIBANK.NSE,Stay long till $ICICIBANK.NSE hits the target of 958. Bullish,Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE Stock is trading with bullish momentum as it is trading much above Ema levels. Macd is also bullish and Rsi is about to enter overbought zone. Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
The stock of ICICI Bank is currently showing a robust uptrend across all time frames, with a consistent pattern of forming higher highs and higher lows. In addition, the stock has recently managed to regain its 20-day, 50-day, 100-day, and 200-day Simple Moving Averages (SMA), and has seen a significant rebound. This indicates a strong resurgence of bullish sentiment in the stock, as the moving averages serve as key support levels that can help identify shifts in market sentiment. Overall, these factors suggest a positive outlook for ICICI Bank's stock price in the near future Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE MACD bearish crossover, RSI in the overbought zone. 
strong short term bearish signals. Bearish",Bearish
$ICICIBANK.NSE,"$ICICIBANK.NSE The profit after tax surged by 30.0% YoY (+9.7% QoQ) to INR 91,219 Mn in Q4FY23 compared to INR 70,187 Mn in Q4FY22. 
 
The overall advances as of March 31, 2023, stood at INR 1,01,96,383 Mn, a growth of 18.7% YoY (+4.1% QoQ). Total deposits increased by 10.9% YoY (+5.2% QoQ) to INR 1,18,08,407 Mn as of March 31, 2023. Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE Net interest income (NII) grew by 40.2% YoY (+7.3% QoQ) to INR 1,76,668 Mn in Q4FY23 from INR 1,26,046 Mn in Q4FY22. The net interest margin was 4.9% in Q4FY23 compared to 4.0% in Q4FY22 (vs 4.7% in Q3FY23). 
 
Pre-Provision Operating Profit (PPOP) for Q4FY23 grew by 34.3% YoY/ 4.2% QoQ to INR 1,38,264 Mn. Bullish",Bullish
$ICICIBANK.NSE,"KRChoksey says $ICICIBANK.NSE reported another stellar performance in Q4FY23 with the credit book continuing to witness a resilient growth momentum in its domestic loan portfolio led by healthy demand scenario across all the segments. The firm maintains its ""buy"" ranking on the stock with a TP of Rs 1,175. Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE  
The stock is slightly bullish with the target price of 923. MACD is also above the signal line giving bullish indications. Bullish",Bullish
$ICICIBANK.NSE,Go long in $ICICIBANK.NSE at CMP for a target of 958. Bullish,Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE results beat Street estimates AGAIN! Consistent outperformance in retail lending boosted overall credit growth. Fun fact: Net Interest Margins (NIMs) hit an all-time high of 4.9% in Q4! Slippages moderated due to lower stress in the corporate and SME segment. This in turn led to a further reduction in bad loans, which is a POSITIVE. Here’s its report card: 👍

Net Interest Income: Rs 17,667 cr; +40% YoY (vs Est: Rs 17,113 cr)
PAT: Rs 9,122 cr; +30% YoY (vs Est: Rs 7,019 cr)
Gross NPA: 2.81% vs 3.07%
Net NPA: 0.48% vs 0.55% 

Big Picture: ICICI Bank has witnessed a massive turnaround under the leadership of Sandeep Bakhshi. In the 4 years since Bakhshi took over, ICICI Bank has not only returned impressive numbers but also restored its image. Bakshi’s no-nonsense approach helped ICICI Bank drive industry-leading growth figures. FYI - ICICI Bank has reported better results than HDFC Bank in the last 8 consecutive quarters! 🙏 Bullish",Bullish
$AXISBANK.NSE,$AXISBANK.NSE banks looking strong to me $HDFCBANK.NSE $ICICIBANK.NSE ... except $YESBANK.NSE lol Bullish,Bullish
$RELIANCE.NSE,"Sharekhan's Research helps you cut through the clutter 💡 
Watch now our analysis with 3R Research Podcast! 
 
Click on this link to watch it now: youtu.be/lIFuWM2dz9w 
Disclaimer: bit.ly/41t4F0J 
 
Today, we covered: 
🎯 $RELIANCE.NSE  
🎯 $ICICIBANK.NSE  
 
@Sharekhan $SENSEX $NIFTY50.NSE $NIFTY100.NSE Bullish",Bullish
$NIFTY50.NSE,"$NIFTY50.NSE  looking ready for Wave 5 Rally.
Comming week looks interesting with
Good Results from $RELIANCE.NSE  and
$ICICIBANK.NSE 

StockMarketindia trading 

bit.ly/2M5aX41
Free EBook Elliottwave Bullish",Bullish
$ICICIBANK.NSE,"$ICICIBANK.NSE Swing trade setup still holding : R/R 1:4 
 
Technicals :  
- CIP support 
- fib618 support 
- low risk setup 
 
Trade setup : 
Entry : 890.50 
SL : 884.80 
Target : 915 
Risk : 6 
Profit : 25 
R/R : 1:4 
 
#banknifty #nifty50 #icicibank Bullish",Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE zeebiz.com/companies/news-i... Bullish,Bullish
$ICICIBANK.NSE,$ICICIBANK.NSE livemint.com/market/stock-m... Bullish,Bullish
